Date,Open,High,Low,Close,Volume,SMA,SD,Upper_Band,Lower_Band,VWAP,EMA12,EMA26,MACD,signalline,RSI,%K,%D,H-L,H-PC,L-PC,ATR
2023-01-05,18101.94921875,18120.30078125,17892.599609375,17992.150390625,269900,18245.78759765625,221.16753475633985,18688.12266716893,17803.45252814357,17196.625459679683,18149.538014093298,18223.687420311315,-74.14940621801725,-47.97459459036782,41.46709993245773,31.168718692291144,40.58779599722567,227.701171875,77.3515625,150.349609375,215.18903459821428
2023-01-06,18008.05078125,18047.400390625,17795.55078125,17859.44921875,238200,18213.930078125,228.89196911178354,18671.714016348567,17756.14613990143,17199.01353239375,18104.908968655865,18196.706812788252,-91.79784413238667,-56.7392444987716,32.50701590271281,12.186992755748886,27.263584018505938,251.849609375,55.25,196.599609375,219.81403459821428
2023-01-09,17952.55078125,18141.400390625,17936.150390625,18101.19921875,257200,18194.13251953125,220.05917525578496,18634.25087004282,17754.01416901968,17202.153282290223,18104.338237901116,18189.632176192827,-85.29393829171022,-62.45018325735933,42.1523308861295,46.76718658765879,30.0409660118996,205.25,281.951171875,76.701171875,224.39634486607142
2023-01-10,18121.30078125,18127.599609375,17856.0,17914.150390625,283300,18159.4400390625,205.59632251045818,18570.63268408342,17748.247394041584,17205.21032565758,18075.078569089408,18169.226118002618,-94.1475489132099,-68.78965638852945,42.13260052242975,25.69336834251607,28.215849228641236,271.599609375,26.400390625,245.19921875,221.61063058035714
2023-01-11,17924.25,17976.349609375,17824.349609375,17895.69921875,259900,18121.2099609375,176.60453420480755,18474.419029347115,17768.000892527885,17207.74786600169,18047.481745960267,18148.964866206126,-101.48312024585903,-75.32834915999537,43.41022560969512,24.735075101832994,32.398543344002604,152.0,62.19921875,89.80078125,214.59988839285714
2023-01-12,17920.849609375,17945.80078125,17761.650390625,17858.19921875,227800,18093.37490234375,171.68190304192652,18436.7387084276,17750.011096259896,17209.817466943125,18018.361357158687,18127.426670098266,-109.0653129395796,-82.07574191591222,51.7427906902818,19.17174404579531,23.200062496714782,184.150390625,50.1015625,134.048828125,202.90708705357142
2023-01-13,17867.5,17999.349609375,17774.25,17956.599609375,256700,18077.7548828125,169.05347121183135,18415.861825236163,17739.647940388837,17212.330688546717,18008.859549807352,18114.772813748394,-105.9132639410418,-86.84324632093814,47.8757739805203,38.71115368654569,27.53932427805799,225.099609375,141.150390625,83.94921875,196.853515625
2023-01-16,18033.150390625,18049.650390625,17853.650390625,17894.849609375,206200,18051.47490234375,153.07456561830688,18357.624033580363,17745.32577110714,17214.401574521624,17991.319558971605,18098.48220601703,-107.16264704542482,-90.90712646583547,40.93179997523634,26.449428528212906,28.110775420184627,196.0,93.05078125,102.94921875,197.86774553571428
2023-01-17,17922.80078125,18072.05078125,17886.94921875,18053.30078125,219100,18034.87490234375,131.44081048370705,18297.756523311164,17771.993281376333,17216.806388264766,18000.855131629818,18095.135433812062,-94.28030218224376,-91.58176160911714,47.62675397818463,57.91314869901451,41.024576971257694,185.1015625,177.201171875,7.900390625,203.60714285714286
2023-01-18,18074.30078125,18183.75,18032.44921875,18165.349609375,255800,18033.18740234375,129.42260198810365,18292.032606319957,17774.34219836754,17220.03159784516,18026.161974359846,18100.33648385376,-74.17450949391423,-88.10031118607655,49.145813360251736,80.16273468738729,54.8417706382049,151.30078125,130.44921875,20.8515625,197.49302455357142
2023-01-19,18119.80078125,18155.19921875,18063.75,18107.849609375,237800,18032.21240234375,128.74759060143725,18289.707583546624,17774.717221140876,17222.949520545033,18038.729302823715,18100.89301167015,-62.16370884643402,-82.91299071814805,50.08650347008173,70.60984014053929,69.56190784231369,91.44921875,10.150390625,101.599609375,191.53948102678572
2023-01-20,18115.599609375,18145.44921875,18016.19921875,18027.650390625,237200,18043.2548828125,117.36461072379221,18277.984104260086,17808.525661364914,17225.69147495124,18037.02485479314,18095.46763233347,-58.44277754033101,-78.01894808258464,44.19015566963874,54.25262814052336,68.34173432281663,129.25,37.599609375,91.650390625,191.58231026785714
2023-01-23,18118.44921875,18162.599609375,18063.44921875,18118.55078125,202500,18048.45244140625,118.32663100071932,18285.105703407688,17811.799179404814,17228.162019077492,18049.567305017274,18097.17749521618,-47.61019019890591,-71.9371965058489,46.242835588009626,74.14577339917469,66.3360805600791,99.150390625,134.94921875,35.798828125,193.92522321428572
